Date	Kind of Business	NAICS  Code	Number of Records	Value
1/1/1992 	Motor vehicle and parts dealers	441	1	29811
1/1/1992 	Automobile dealers	4411	1	25800
1/1/1992 	Automobile and other motor vehicle dealers	44114412	1	26788
1/1/1992 	New car dealers	44111	1	24056
1/1/1992 	Used car dealers	44112	1	1744
1/1/1992 	Automotive parts acc. and tire stores	4413	1	3023
1/1/1992 	Furniture and home furnishings stores	442	1	3846
1/1/1992 	Furniture home furn electronics and appliance stores	442443	1	7087
1/1/1992 	Furniture stores	4421	1	2392
1/1/1992 	Home furnishings stores	4422	1	1454
1/1/1992 	Floor covering stores	44221	1	728
1/1/1992 	All other home furnishings stores	442299	1	
1/1/1992 	Electronics and appliance stores	443	1	3241
1/1/1992 	Appl.TV and other elect. stores	44311	1	2142
1/1/1992 	Household appliance stores	443111	1	601
1/1/1992 	 Radio T.V. and other elect. stores	443112	1	1541
1/1/1992 	 Computer and software stores	44312	1	933
1/1/1992 	Building mat. and garden equip. and supplies dealers	444	1	8964
1/1/1992 	Building mat. and supplies dealers	4441	1	7637
1/1/1992 	Paint and wallpaper stores	44412	1	
1/1/1992 	 Hardware stores	44413	1	842
1/1/1992 	Food and beverage stores	445	1	29589
1/1/1992 	Grocery stores	4451	1	27306
1/1/1992 	Supermarkets and other grocery (except convenience) stores	44511	1	
1/1/1992 	Beer wine and liquor stores	4453	1	1509
1/1/1992 	Health and personal care stores	446	1	7258
1/1/1992 	Pharmacies and drug stores	44611	1	6358
1/1/1992 	Gasoline stations	447	1	12099
1/1/1992 	Clothing and clothing access. stores	448	1	6938
1/1/1992 	Clothing stores	4481	1	4852
1/1/1992 	 Men's clothing stores	44811	1	701
1/1/1992 	Women's clothing stores	44812	1	1873
1/1/1992 	Family clothing stores	44814	1	1649
1/1/1992 	Other clothing stores	44819	1	
1/1/1992 	Shoe stores	4482	1	1206
1/1/1992 	Jewelry stores	44831	1	796
1/1/1992 	Sporting goods hobby book and music stores	451	1	3439
1/1/1992 	 Sporting goods stores	45111	1	972
1/1/1992 	 Hobby toy and game stores	45112	1	620
1/1/1992 	Book stores	451211	1	790
1/1/1992 	General merchandise stores	452	1	14996
1/1/1992 	Department stores (excl.L.D)	4521	1	10306
1/1/1992 	Department stores (incl. L.D.)(2)	4521	1	10560
1/1/1992 	Department stores(excl. discount department stores)	452111	1	4818
1/1/1992 	Department stores(excl. discount department stores)	452111	1	4959
1/1/1992 	Discount dept. stores	452112	1	5488
1/1/1992 	Discount dept. stores	452112	1	5601
1/1/1992 	Other general merchandise stores	4529	1	4690
1/1/1992 	Warehouse clubs and superstores	45291	1	2579
1/1/1992 	All other gen. merchandise stores	45299	1	2111
1/1/1992 	Miscellaneous store retailers	453	1	3642
1/1/1992 	Office supplies stationery and gift stores	4532	1	1446
1/1/1992 	Office supplies and stationery stores	45321	1	788
1/1/1992 	Gift novelty and souvenir stores	45322	1	658
1/1/1992 	Used merchandise stores	4533	1	371
1/1/1992 	Nonstore retailers	454	1	6860
1/1/1992 	Electronic shopping and mail-order houses	4541	1	2692
1/1/1992 	Fuel dealers	45431	1	1916
1/1/1992 	Food services and drinking places	722	1	15693
1/1/1992 	Full service restaurants	7221	1	6887
1/1/1992 	 Limited service eating places	7222	1	6438
1/1/1992 	Drinking places	7224	1	1049
2/1/1992 	 Retail and food services sales total		1	147079
2/1/1992 	GAFO(1)		1	35220
2/1/1992 	Retail sales and food services excl motor vehicle and parts		1	115862
2/1/1992 	Retail sales total		1	131244
2/1/1992 	Retail sales total (excl. motor vehicle and parts dealers)		1	100027
2/1/1992 	Motor vehicle and parts dealers	441	1	31217
2/1/1992 	Automobile dealers	4411	1	27031
2/1/1992 	Automobile and other motor vehicle dealers	44114412	1	28203
2/1/1992 	New car dealers	44111	1	25041
2/1/1992 	Used car dealers	44112	1	1990
2/1/1992 	Automotive parts acc. and tire stores	4413	1	3014
2/1/1992 	Furniture and home furnishings stores	442	1	3908
2/1/1992 	Furniture home furn electronics and appliance stores	442443	1	6940
2/1/1992 	Furniture stores	4421	1	2460
2/1/1992 	Home furnishings stores	4422	1	1448
2/1/1992 	Floor covering stores	44221	1	731
2/1/1992 	All other home furnishings stores	442299	1	
2/1/1992 	Electronics and appliance stores	443	1	3032
2/1/1992 	Appl.TV and other elect. stores	44311	1	2043
2/1/1992 	Household appliance stores	443111	1	576
2/1/1992 	 Radio T.V. and other elect. stores	443112	1	1467
2/1/1992 	 Computer and software stores	44312	1	839
2/1/1992 	Building mat. and garden equip. and supplies dealers	444	1	9023
2/1/1992 	Building mat. and supplies dealers	4441	1	7567
2/1/1992 	Paint and wallpaper stores	44412	1	
2/1/1992 	 Hardware stores	44413	1	818
2/1/1992 	Food and beverage stores	445	1	28570
2/1/1992 	Grocery stores	4451	1	26223
2/1/1992 	Supermarkets and other grocery (except convenience) stores	44511	1	
2/1/1992 	Beer wine and liquor stores	4453	1	1541
2/1/1992 	Health and personal care stores	446	1	7150
2/1/1992 	Pharmacies and drug stores	44611	1	6284
2/1/1992 	Gasoline stations	447	1	11580
2/1/1992 	Clothing and clothing access. stores	448	1	7524
2/1/1992 	Clothing stores	4481	1	5159
2/1/1992 	 Men's clothing stores	44811	1	658
2/1/1992 	Women's clothing stores	44812	1	1991
2/1/1992 	Family clothing stores	44814	1	1864
2/1/1992 	Other clothing stores	44819	1	
2/1/1992 	Shoe stores	4482	1	1265
2/1/1992 	Jewelry stores	44831	1	1021
2/1/1992 	Sporting goods hobby book and music stores	451	1	3264
2/1/1992 	 Sporting goods stores	45111	1	1100
2/1/1992 	 Hobby toy and game stores	45112	1	585
2/1/1992 	Book stores	451211	1	539
2/1/1992 	General merchandise stores	452	1	16015
2/1/1992 	Department stores (excl.L.D)	4521	1	11251
2/1/1992 	Department stores (incl. L.D.)(2)	4521	1	11549
2/1/1992 	Department stores(excl. discount department stores)	452111	1	5347
2/1/1992 	Department stores(excl. discount department stores)	452111	1	5524
2/1/1992 	Discount dept. stores	452112	1	5904
2/1/1992 	Discount dept. stores	452112	1	6025
2/1/1992 	Other general merchandise stores	4529	1	4764
2/1/1992 	Warehouse clubs and superstores	45291	1	2615
2/1/1992 	All other gen. merchandise stores	45299	1	2149
2/1/1992 	Miscellaneous store retailers	453	1	3902
2/1/1992 	Office supplies stationery and gift stores	4532	1	1477
2/1/1992 	Office supplies and stationery stores	45321	1	679
2/1/1992 	Gift novelty and souvenir stores	45322	1	798
2/1/1992 	Used merchandise stores	4533	1	402
2/1/1992 	Nonstore retailers	454	1	6059
2/1/1992 	Electronic shopping and mail-order houses	4541	1	2285
2/1/1992 	Fuel dealers	45431	1	1627
2/1/1992 	Food services and drinking places	722	1	15835
2/1/1992 	Full service restaurants	7221	1	6937
2/1/1992 	 Limited service eating places	7222	1	6537
2/1/1992 	Drinking places	7224	1	1026
3/1/1992 	 Retail and food services sales total		1	159336
3/1/1992 	GAFO(1)		1	38731
3/1/1992 	Retail sales and food services excl motor vehicle and parts		1	124200
3/1/1992 	Retail sales total		1	142488
3/1/1992 	Retail sales total (excl. motor vehicle and parts dealers)		1	107352
3/1/1992 	Motor vehicle and parts dealers	441	1	35136
3/1/1992 	Automobile dealers	4411	1	30195
3/1/1992 	Automobile and other motor vehicle dealers	44114412	1	31684
3/1/1992 	New car dealers	44111	1	28018
3/1/1992 	Used car dealers	44112	1	2177
3/1/1992 	Automotive parts acc. and tire stores	4413	1	3452
3/1/1992 	Furniture and home furnishings stores	442	1	4157
3/1/1992 	Furniture home furn electronics and appliance stores	442443	1	7393
3/1/1992 	Furniture stores	4421	1	2607
3/1/1992 	Home furnishings stores	4422	1	1550
3/1/1992 	Floor covering stores	44221	1	851
3/1/1992 	All other home furnishings stores	442299	1	
3/1/1992 	Electronics and appliance stores	443	1	3236
3/1/1992 	Appl.TV and other elect. stores	44311	1	2143
3/1/1992 	Household appliance stores	443111	1	631
3/1/1992 	 Radio T.V. and other elect. stores	443112	1	1512
3/1/1992 	 Computer and software stores	44312	1	930
3/1/1992 	Building mat. and garden equip. and supplies dealers	444	1	10608
3/1/1992 	Building mat. and supplies dealers	4441	1	8718
3/1/1992 	Paint and wallpaper stores	44412	1	
3/1/1992 	 Hardware stores	44413	1	958
3/1/1992 	Food and beverage stores	445	1	29682
3/1/1992 	Grocery stores	4451	1	27235
3/1/1992 	Supermarkets and other grocery (except convenience) stores	44511	1	
3/1/1992 	Beer wine and liquor stores	4453	1	1597
3/1/1992 	Health and personal care stores	446	1	7413
3/1/1992 	Pharmacies and drug stores	44611	1	6420
3/1/1992 	Gasoline stations	447	1	12272
3/1/1992 	Clothing and clothing access. stores	448	1	8475
3/1/1992 	Clothing stores	4481	1	6024
3/1/1992 	 Men's clothing stores	44811	1	731
3/1/1992 	Women's clothing stores	44812	1	2403
3/1/1992 	Family clothing stores	44814	1	2152
3/1/1992 	Other clothing stores	44819	1	
3/1/1992 	Shoe stores	4482	1	1463
3/1/1992 	Jewelry stores	44831	1	912
3/1/1992 	Sporting goods hobby book and music stores	451	1	3473
3/1/1992 	 Sporting goods stores	45111	1	1214
3/1/1992 	 Hobby toy and game stores	45112	1	643
3/1/1992 	Book stores	451211	1	535
3/1/1992 	General merchandise stores	452	1	17984
3/1/1992 	Department stores (excl.L.D)	4521	1	12917
3/1/1992 	Department stores (incl. L.D.)(2)	4521	1	13249
3/1/1992 	Department stores(excl. discount department stores)	452111	1	6262
3/1/1992 	Department stores(excl. discount department stores)	452111	1	6449
3/1/1992 	Discount dept. stores	452112	1	6655
3/1/1992 	Discount dept. stores	452112	1	6800
3/1/1992 	Other general merchandise stores	4529	1	5067
3/1/1992 	Warehouse clubs and superstores	45291	1	2838
3/1/1992 	All other gen. merchandise stores	45299	1	2229
3/1/1992 	Miscellaneous store retailers	453	1	3755
3/1/1992 	Office supplies stationery and gift stores	4532	1	1406
3/1/1992 	Office supplies and stationery stores	45321	1	692
3/1/1992 	Gift novelty and souvenir stores	45322	1	714
3/1/1992 	Used merchandise stores	4533	1	419
3/1/1992 	Nonstore retailers	454	1	6297
3/1/1992 	Electronic shopping and mail-order houses	4541	1	2484
3/1/1992 	Fuel dealers	45431	1	1537
3/1/1992 	Food services and drinking places	722	1	16848
3/1/1992 	Full service restaurants	7221	1	7245
3/1/1992 	 Limited service eating places	7222	1	7101
3/1/1992 	Drinking places	7224	1	1074
4/1/1992 	 Retail and food services sales total		1	163669
4/1/1992 	GAFO(1)		1	40548
4/1/1992 	Retail sales and food services excl motor vehicle and parts		1	127587
4/1/1992 	Retail sales total		1	147175
4/1/1992 	Retail sales total (excl. motor vehicle and parts dealers)		1	111093
4/1/1992 	Motor vehicle and parts dealers	441	1	36082
4/1/1992 	Automobile dealers	4411	1	30583
4/1/1992 	Automobile and other motor vehicle dealers	44114412	1	32547
4/1/1992 	New car dealers	44111	1	27982
4/1/1992 	Used car dealers	44112	1	2601
4/1/1992 	Automotive parts acc. and tire stores	4413	1	3535
4/1/1992 	Furniture and home furnishings stores	442	1	4141
4/1/1992 	Furniture home furn electronics and appliance stores	442443	1	7295
4/1/1992 	Furniture stores	4421	1	2525
4/1/1992 	Home furnishings stores	4422	1	1616
4/1/1992 	Floor covering stores	44221	1	899
4/1/1992 	All other home furnishings stores	442299	1	
4/1/1992 	Electronics and appliance stores	443	1	3154
4/1/1992 	Appl.TV and other elect. stores	44311	1	2065
4/1/1992 	Household appliance stores	443111	1	643
4/1/1992 	 Radio T.V. and other elect. stores	443112	1	1422
4/1/1992 	 Computer and software stores	44312	1	926
4/1/1992 	Building mat. and garden equip. and supplies dealers	444	1	11630
4/1/1992 	Building mat. and supplies dealers	4441	1	9330
4/1/1992 	Paint and wallpaper stores	44412	1	
4/1/1992 	 Hardware stores	44413	1	1073
4/1/1992 	Food and beverage stores	445	1	30228
4/1/1992 	Grocery stores	4451	1	27588
4/1/1992 	Supermarkets and other grocery (except convenience) stores	44511	1	
4/1/1992 	Beer wine and liquor stores	4453	1	1675
4/1/1992 	Health and personal care stores	446	1	7531
4/1/1992 	Pharmacies and drug stores	44611	1	6573
4/1/1992 	Gasoline stations	447	1	12443
4/1/1992 	Clothing and clothing access. stores	448	1	9401
4/1/1992 	Clothing stores	4481	1	6682
4/1/1992 	 Men's clothing stores	44811	1	816
4/1/1992 	Women's clothing stores	44812	1	2665
4/1/1992 	Family clothing stores	44814	1	2438
4/1/1992 	Other clothing stores	44819	1	
4/1/1992 	Shoe stores	4482	1	1675
4/1/1992 	Jewelry stores	44831	1	969
4/1/1992 	Sporting goods hobby book and music stores	451	1	3523
4/1/1992 	 Sporting goods stores	45111	1	1267
4/1/1992 	 Hobby toy and game stores	45112	1	706
4/1/1992 	Book stores	451211	1	523
4/1/1992 	General merchandise stores	452	1	18872
4/1/1992 	Department stores (excl.L.D)	4521	1	13461
4/1/1992 	Department stores (incl. L.D.)(2)	4521	1	13808
4/1/1992 	Department stores(excl. discount department stores)	452111	1	6417
4/1/1992 	Department stores(excl. discount department stores)	452111	1	6602
4/1/1992 	Discount dept. stores	452112	1	7044
4/1/1992 	Discount dept. stores	452112	1	7206
4/1/1992 	Other general merchandise stores	4529	1	5411
4/1/1992 	Warehouse clubs and superstores	45291	1	2984
4/1/1992 	All other gen. merchandise stores	45299	1	2427
4/1/1992 	Miscellaneous store retailers	453	1	4148
4/1/1992 	Office supplies stationery and gift stores	4532	1	1457
4/1/1992 	Office supplies and stationery stores	45321	1	656
4/1/1992 	Gift novelty and souvenir stores	45322	1	801
4/1/1992 	Used merchandise stores	4533	1	393
4/1/1992 	Nonstore retailers	454	1	6022
4/1/1992 	Electronic shopping and mail-order houses	4541	1	2506
4/1/1992 	Fuel dealers	45431	1	1341
4/1/1992 	Food services and drinking places	722	1	16494
4/1/1992 	Full service restaurants	7221	1	7000
4/1/1992 	 Limited service eating places	7222	1	7065
4/1/1992 	Drinking places	7224	1	1031
5/1/1992 	 Retail and food services sales total		1	170068
5/1/1992 	GAFO(1)		1	42213
5/1/1992 	Retail sales and food services excl motor vehicle and parts		1	133608
5/1/1992 	Retail sales total		1	152420
5/1/1992 	Retail sales total (excl. motor vehicle and parts dealers)		1	115960
5/1/1992 	Motor vehicle and parts dealers	441	1	36460
5/1/1992 	Automobile dealers	4411	1	31095
5/1/1992 	Automobile and other motor vehicle dealers	44114412	1	32883
5/1/1992 	New car dealers	44111	1	28924
5/1/1992 	Used car dealers	44112	1	2171
5/1/1992 	Automotive parts acc. and tire stores	4413	1	3577
5/1/1992 	Furniture and home furnishings stores	442	1	4275
5/1/1992 	Furniture home furn electronics and appliance stores	442443	1	7476
5/1/1992 	Furniture stores	4421	1	2605
5/1/1992 	Home furnishings stores	4422	1	1670
5/1/1992 	Floor covering stores	44221	1	856
5/1/1992 	All other home furnishings stores	442299	1	
5/1/1992 	Electronics and appliance stores	443	1	3201
5/1/1992 	Appl.TV and other elect. stores	44311	1	2180
5/1/1992 	Household appliance stores	443111	1	662
5/1/1992 	 Radio T.V. and other elect. stores	443112	1	1518
5/1/1992 	 Computer and software stores	44312	1	838
5/1/1992 	Building mat. and garden equip. and supplies dealers	444	1	12327
5/1/1992 	Building mat. and supplies dealers	4441	1	9731
5/1/1992 	Paint and wallpaper stores	44412	1	
5/1/1992 	 Hardware stores	44413	1	1232
5/1/1992 	Food and beverage stores	445	1	31677
5/1/1992 	Grocery stores	4451	1	28883
5/1/1992 	Supermarkets and other grocery (except convenience) stores	44511	1	
5/1/1992 	Beer wine and liquor stores	4453	1	1822
5/1/1992 	Health and personal care stores	446	1	7488
5/1/1992 	Pharmacies and drug stores	44611	1	6491
5/1/1992 	Gasoline stations	447	1	13449
5/1/1992 	Clothing and clothing access. stores	448	1	9558
5/1/1992 	Clothing stores	4481	1	6768
5/1/1992 	 Men's clothing stores	44811	1	856
5/1/1992 	Women's clothing stores	44812	1	2752
5/1/1992 	Family clothing stores	44814	1	2412
5/1/1992 	Other clothing stores	44819	1	
5/1/1992 	Shoe stores	4482	1	1560
5/1/1992 	Jewelry stores	44831	1	1171
5/1/1992 	Sporting goods hobby book and music stores	451	1	3545
5/1/1992 	 Sporting goods stores	45111	1	1293
5/1/1992 	 Hobby toy and game stores	45112	1	660
5/1/1992 	Book stores	451211	1	552
5/1/1992 	General merchandise stores	452	1	20037
5/1/1992 	Department stores (excl.L.D)	4521	1	14286
5/1/1992 	Department stores (incl. L.D.)(2)	4521	1	14621
5/1/1992 	Department stores(excl. discount department stores)	452111	1	6636
5/1/1992 	Department stores(excl. discount department stores)	452111	1	6811
5/1/1992 	Discount dept. stores	452112	1	7650
5/1/1992 	Discount dept. stores	452112	1	7810
5/1/1992 	Other general merchandise stores	4529	1	5751
5/1/1992 	Warehouse clubs and superstores	45291	1	3257
5/1/1992 	All other gen. merchandise stores	45299	1	2494
5/1/1992 	Miscellaneous store retailers	453	1	4600
5/1/1992 	Office supplies stationery and gift stores	4532	1	1597
5/1/1992 	Office supplies and stationery stores	45321	1	697
5/1/1992 	Gift novelty and souvenir stores	45322	1	900
5/1/1992 	Used merchandise stores	4533	1	435
5/1/1992 	Nonstore retailers	454	1	5803
5/1/1992 	Electronic shopping and mail-order houses	4541	1	2483
5/1/1992 	Fuel dealers	45431	1	1163
5/1/1992 	Food services and drinking places	722	1	17648
5/1/1992 	Full service restaurants	7221	1	7532
5/1/1992 	 Limited service eating places	7222	1	7545
5/1/1992 	Drinking places	7224	1	1047
6/1/1992 	 Retail and food services sales total		1	168662
6/1/1992 	GAFO(1)		1	40990
6/1/1992 	Retail sales and food services excl motor vehicle and parts		1	130273
6/1/1992 	Retail sales total		1	151848
6/1/1992 	Retail sales total (excl. motor vehicle and parts dealers)		1	113459
6/1/1992 	Motor vehicle and parts dealers	441	1	38389
6/1/1992 	Automobile dealers	4411	1	32798
6/1/1992 	Automobile and other motor vehicle dealers	44114412	1	34667
6/1/1992 	New car dealers	44111	1	30591
6/1/1992 	Used car dealers	44112	1	2207
6/1/1992 	Automotive parts acc. and tire stores	4413	1	3722
6/1/1992 	Furniture and home furnishings stores	442	1	4357
6/1/1992 	Furniture home furn electronics and appliance stores	442443	1	7774
6/1/1992 	Furniture stores	4421	1	2604
6/1/1992 	Home furnishings stores	4422	1	1753
6/1/1992 	Floor covering stores	44221	1	950
6/1/1992 	All other home furnishings stores	442299	1	
6/1/1992 	Electronics and appliance stores	443	1	3417
6/1/1992 	Appl.TV and other elect. stores	44311	1	2315
6/1/1992 	Household appliance stores	443111	1	746
6/1/1992 	 Radio T.V. and other elect. stores	443112	1	1569
6/1/1992 	 Computer and software stores	44312	1	895
6/1/1992 	Building mat. and garden equip. and supplies dealers	444	1	12219
6/1/1992 	Building mat. and supplies dealers	4441	1	10178
6/1/1992 	Paint and wallpaper stores	44412	1	
6/1/1992 	 Hardware stores	44413	1	1165
6/1/1992 	Food and beverage stores	445	1	30769
6/1/1992 	Grocery stores	4451	1	28039
6/1/1992 	Supermarkets and other grocery (except convenience) stores	44511	1	
6/1/1992 	Beer wine and liquor stores	4453	1	1775
6/1/1992 	Health and personal care stores	446	1	7386
6/1/1992 	Pharmacies and drug stores	44611	1	6342
6/1/1992 	Gasoline stations	447	1	13427
6/1/1992 	Clothing and clothing access. stores	448	1	9182
6/1/1992 	Clothing stores	4481	1	6534
6/1/1992 	 Men's clothing stores	44811	1	853
6/1/1992 	Women's clothing stores	44812	1	2424
6/1/1992 	Family clothing stores	44814	1	2516
6/1/1992 	Other clothing stores	44819	1	
6/1/1992 	Shoe stores	4482	1	1498
6/1/1992 	Jewelry stores	44831	1	1094
6/1/1992 	Sporting goods hobby book and music stores	451	1	3611
6/1/1992 	 Sporting goods stores	45111	1	1334
6/1/1992 	 Hobby toy and game stores	45112	1	721
6/1/1992 	Book stores	451211	1	589
6/1/1992 	General merchandise stores	452	1	18812
6/1/1992 	Department stores (excl.L.D)	4521	1	13354
6/1/1992 	Department stores (incl. L.D.)(2)	4521	1	13668
6/1/1992 	Department stores(excl. discount department stores)	452111	1	6163
6/1/1992 	Department stores(excl. discount department stores)	452111	1	6321
6/1/1992 	Discount dept. stores	452112	1	7191
6/1/1992 	Discount dept. stores	452112	1	7347
6/1/1992 	Other general merchandise stores	4529	1	5458
6/1/1992 	Warehouse clubs and superstores	45291	1	3107
6/1/1992 	All other gen. merchandise stores	45299	1	2351
6/1/1992 	Miscellaneous store retailers	453	1	4518
6/1/1992 	Office supplies stationery and gift stores	4532	1	1611
6/1/1992 	Office supplies and stationery stores	45321	1	725
6/1/1992 	Gift novelty and souvenir stores	45322	1	886
6/1/1992 	Used merchandise stores	4533	1	519
6/1/1992 	Nonstore retailers	454	1	5761
6/1/1992 	Electronic shopping and mail-order houses	4541	1	2602
6/1/1992 	Fuel dealers	45431	1	1016
6/1/1992 	Food services and drinking places	722	1	16814
6/1/1992 	Full service restaurants	7221	1	6997
6/1/1992 	 Limited service eating places	7222	1	7387
6/1/1992 	Drinking places	7224	1	986
7/1/1992 	 Retail and food services sales total		1	169889
7/1/1992 	GAFO(1)		1	40956
7/1/1992 	Retail sales and food services excl motor vehicle and parts		1	132075
7/1/1992 	Retail sales total		1	152585
7/1/1992 	Retail sales total (excl. motor vehicle and parts dealers)		1	114771
7/1/1992 	Motor vehicle and parts dealers	441	1	37814
7/1/1992 	Automobile dealers	4411	1	32185
7/1/1992 	Automobile and other motor vehicle dealers	44114412	1	34077
7/1/1992 	New car dealers	44111	1	29934
7/1/1992 	Used car dealers	44112	1	2251
7/1/1992 	Automotive parts acc. and tire stores	4413	1	3737
7/1/1992 	Furniture and home furnishings stores	442	1	4407
7/1/1992 	Furniture home furn electronics and appliance stores	442443	1	7924
7/1/1992 	Furniture stores	4421	1	2627
7/1/1992 	Home furnishings stores	4422	1	1780
7/1/1992 	Floor covering stores	44221	1	904
7/1/1992 	All other home furnishings stores	442299	1	
7/1/1992 	Electronics and appliance stores	443	1	3517
7/1/1992 	Appl.TV and other elect. stores	44311	1	2386
7/1/1992 	Household appliance stores	443111	1	764
7/1/1992 	 Radio T.V. and other elect. stores	443112	1	1622
7/1/1992 	 Computer and software stores	44312	1	933
7/1/1992 	Building mat. and garden equip. and supplies dealers	444	1	11658
7/1/1992 	Building mat. and supplies dealers	4441	1	9981
7/1/1992 	Paint and wallpaper stores	44412	1	
7/1/1992 	 Hardware stores	44413	1	1142
7/1/1992 	Food and beverage stores	445	1	32402
7/1/1992 	Grocery stores	4451	1	29479
7/1/1992 	Supermarkets and other grocery (except convenience) stores	44511	1	
7/1/1992 	Beer wine and liquor stores	4453	1	1912
7/1/1992 	Health and personal care stores	446	1	7276
7/1/1992 	Pharmacies and drug stores	44611	1	6236
7/1/1992 	Gasoline stations	447	1	13874
7/1/1992 	Clothing and clothing access. stores	448	1	9103
7/1/1992 	Clothing stores	4481	1	6551
7/1/1992 	 Men's clothing stores	44811	1	714
7/1/1992 	Women's clothing stores	44812	1	2373
7/1/1992 	Family clothing stores	44814	1	2653
7/1/1992 	Other clothing stores	44819	1	
7/1/1992 	Shoe stores	4482	1	1449
7/1/1992 	Jewelry stores	44831	1	1037
7/1/1992 	Sporting goods hobby book and music stores	451	1	3637
7/1/1992 	 Sporting goods stores	45111	1	1340
7/1/1992 	 Hobby toy and game stores	45112	1	678
7/1/1992 	Book stores	451211	1	592
7/1/1992 	General merchandise stores	452	1	18575
7/1/1992 	Department stores (excl.L.D)	4521	1	13101
7/1/1992 	Department stores (incl. L.D.)(2)	4521	1	13400
7/1/1992 	Department stores(excl. discount department stores)	452111	1	6025
7/1/1992 	Department stores(excl. discount department stores)	452111	1	6176
7/1/1992 	Discount dept. stores	452112	1	7076
7/1/1992 	Discount dept. stores	452112	1	7224
7/1/1992 	Other general merchandise stores	4529	1	5474
7/1/1992 	Warehouse clubs and superstores	45291	1	3097
7/1/1992 	All other gen. merchandise stores	45299	1	2377
7/1/1992 	Miscellaneous store retailers	453	1	4488
7/1/1992 	Office supplies stationery and gift stores	4532	1	1717
7/1/1992 	Office supplies and stationery stores	45321	1	775
7/1/1992 	Gift novelty and souvenir stores	45322	1	942
7/1/1992 	Used merchandise stores	4533	1	443
7/1/1992 	Nonstore retailers	454	1	5834
7/1/1992 	Electronic shopping and mail-order houses	4541	1	2665
7/1/1992 	Fuel dealers	45431	1	969
7/1/1992 	Food services and drinking places	722	1	17304
7/1/1992 	Full service restaurants	7221	1	7272
7/1/1992 	 Limited service eating places	7222	1	7603
7/1/1992 	Drinking places	7224	1	1015
8/1/1992 	 Retail and food services sales total		1	170363
8/1/1992 	GAFO(1)		1	44642
8/1/1992 	Retail sales and food services excl motor vehicle and parts		1	134927
8/1/1992 	Retail sales total		1	152475
8/1/1992 	Retail sales total (excl. motor vehicle and parts dealers)		1	117039
8/1/1992 	Motor vehicle and parts dealers	441	1	35436
8/1/1992 	Automobile dealers	4411	1	30139
8/1/1992 	Automobile and other motor vehicle dealers	44114412	1	31809
8/1/1992 	New car dealers	44111	1	28052
8/1/1992 	Used car dealers	44112	1	2087
8/1/1992 	Automotive parts acc. and tire stores	4413	1	3627
8/1/1992 	Furniture and home furnishings stores	442	1	4446
8/1/1992 	Furniture home furn electronics and appliance stores	442443	1	7863
8/1/1992 	Furniture stores	4421	1	2639
8/1/1992 	Home furnishings stores	4422	1	1807
8/1/1992 	Floor covering stores	44221	1	917
8/1/1992 	All other home furnishings stores	442299	1	
8/1/1992 	Electronics and appliance stores	443	1	3417
8/1/1992 	Appl.TV and other elect. stores	44311	1	2289
8/1/1992 	Household appliance stores	443111	1	727
8/1/1992 	 Radio T.V. and other elect. stores	443112	1	1562
8/1/1992 	 Computer and software stores	44312	1	933
8/1/1992 	Building mat. and garden equip. and supplies dealers	444	1	11219
8/1/1992 	Building mat. and supplies dealers	4441	1	9742
8/1/1992 	Paint and wallpaper stores	44412	1	
8/1/1992 	 Hardware stores	44413	1	1081
8/1/1992 	Food and beverage stores	445	1	31469
8/1/1992 	Grocery stores	4451	1	28645
8/1/1992 	Supermarkets and other grocery (except convenience) stores	44511	1	
8/1/1992 	Beer wine and liquor stores	4453	1	1862
8/1/1992 	Health and personal care stores	446	1	7312
8/1/1992 	Pharmacies and drug stores	44611	1	6280
8/1/1992 	Gasoline stations	447	1	13825
8/1/1992 	Clothing and clothing access. stores	448	1	10513
8/1/1992 	Clothing stores	4481	1	7486
8/1/1992 	 Men's clothing stores	44811	1	777
8/1/1992 	Women's clothing stores	44812	1	2657
8/1/1992 	Family clothing stores	44814	1	3046
8/1/1992 	Other clothing stores	44819	1	
8/1/1992 	Shoe stores	4482	1	1838
8/1/1992 	Jewelry stores	44831	1	1089
8/1/1992 	Sporting goods hobby book and music stores	451	1	3986
8/1/1992 	 Sporting goods stores	45111	1	1377
8/1/1992 	 Hobby toy and game stores	45112	1	653
8/1/1992 	Book stores	451211	1	894
8/1/1992 	General merchandise stores	452	1	20518
8/1/1992 	Department stores (excl.L.D)	4521	1	14783
8/1/1992 	Department stores (incl. L.D.)(2)	4521	1	15111
8/1/1992 	Department stores(excl. discount department stores)	452111	1	7145
8/1/1992 	Department stores(excl. discount department stores)	452111	1	7306
8/1/1992 	Discount dept. stores	452112	1	7638
8/1/1992 	Discount dept. stores	452112	1	7805
8/1/1992 	Other general merchandise stores	4529	1	5735
8/1/1992 	Warehouse clubs and superstores	45291	1	3288
8/1/1992 	All other gen. merchandise stores	45299	1	2447
8/1/1992 	Miscellaneous store retailers	453	1	4504
8/1/1992 	Office supplies stationery and gift stores	4532	1	1762
8/1/1992 	Office supplies and stationery stores	45321	1	811
8/1/1992 	Gift novelty and souvenir stores	45322	1	951
8/1/1992 	Used merchandise stores	4533	1	532
8/1/1992 	Nonstore retailers	454	1	5830
8/1/1992 	Electronic shopping and mail-order houses	4541	1	2673
8/1/1992 	Fuel dealers	45431	1	1005
8/1/1992 	Food services and drinking places	722	1	17888
